wluna_date,luna_price,luna_total_volume,luna_date,luna_market_cap,wcelo_date,celo_price,celo_total_volume,celo_date,celo_market_cap,luna_celo_ratio
2020-05-22 00:00:00 UTC,0.179572,4801807.454,5/22/2020,72187943.8,2020-05-22 00:00:00 UTC,0.818999657,63137.73806,5/22/2020,267812888,0.219257723
2020-05-23 00:00:00 UTC,0.182917921,3147397.634,5/23/2020,73533004.36,2020-05-23 00:00:00 UTC,0.988004185,1729708.613,5/23/2020,323077368.5,0.185138812
2020-05-24 00:00:00 UTC,0.186008617,3048746.659,5/24/2020,74775463.92,2020-05-24 00:00:00 UTC,2.463325227,4066178.688,5/24/2020,805507349.2,0.075511189
2020-05-25 00:00:00 UTC,0.181350117,4166765.905,5/25/2020,72902747.07,2020-05-25 00:00:00 UTC,1.799572106,3229256.522,5/25/2020,588460078.8,0.100774021
2020-05-26 00:00:00 UTC,0.189055895,4121474.165,5/26/2020,76000469.87,2020-05-26 00:00:00 UTC,1.433089729,2202754.816,5/26/2020,468620341.2,0.131921883
2020-05-27 00:00:00 UTC,0.196041452,5150439.112,5/27/2020,78808663.84,2020-05-27 00:00:00 UTC,1.449355767,2206783.376,5/27/2020,473939335.7,0.135261098
2020-05-28 00:00:00 UTC,0.19609258,5472586.874,5/28/2020,78829217.06,2020-05-28 00:00:00 UTC,1.507492564,2258634.26,5/28/2020,492950068.6,0.130078638
2020-05-29 00:00:00 UTC,0.197123205,5314996.592,5/29/2020,79243528.35,2020-05-29 00:00:00 UTC,1.494215275,2277212.011,5/29/2020,488608394.9,0.131924234
2020-05-30 00:00:00 UTC,0.197815055,6837230.552,5/30/2020,79521651.95,2020-05-30 00:00:00 UTC,1.589261426,2247055.79,5/30/2020,519688486.2,0.124469802
2020-05-31 00:00:00 UTC,0.196571036,4466076.704,5/31/2020,79021556.53,2020-05-31 00:00:00 UTC,1.48307202,1039682.397,5/31/2020,484964550.5,0.132543149
2020-06-01 00:00:00 UTC,0.197921161,3162438.582,6/1/2020,79564306.73,2020-06-01 00:00:00 UTC,1.566775137,1051249.529,6/1/2020,512335469.8,0.12632391
2020-06-02 00:00:00 UTC,0.200598584,4667663.609,6/2/2020,80640630.79,2020-06-02 00:00:00 UTC,1.527917763,1043869.663,6/2/2020,499629108.4,0.131288862
