wtel_date,tel_price,tel_volume,tel_date,tel_marketcap,wxdc_date,xdc_price,xdc_volume,xdc_date,xdc_marketcap,xdc_tel_ratio
2018-04-15 00:00:00 UTC,0.001756703,225077.7408,4/15/2018,95915961.97,2018-04-15 00:00:00 UTC,0.003549919,176614.2566,4/15/2018,43664000.33,2.020784959
2018-04-16 00:00:00 UTC,0.001887816,327437.6265,4/16/2018,103074767.7,2018-04-16 00:00:00 UTC,0.003489665,71192.86187,4/16/2018,42922883.83,1.848519665
2018-04-17 00:00:00 UTC,0.001776038,265078.2427,4/17/2018,96971653.93,2018-04-17 00:00:00 UTC,0.003314939,158507.6021,4/17/2018,40773754.18,1.866479771
2018-04-18 00:00:00 UTC,0.001733188,251861.3331,4/18/2018,94632051.62,2018-04-18 00:00:00 UTC,0.002966748,131945.609,4/18/2018,36490997.46,1.711728907
2018-04-19 00:00:00 UTC,0.001788808,497864.5922,4/19/2018,97668926.99,2018-04-19 00:00:00 UTC,0.003634341,153147.8817,4/19/2018,44702399.04,2.031711061
2018-04-20 00:00:00 UTC,0.001918427,490312.7703,4/20/2018,104746114.7,2018-04-20 00:00:00 UTC,0.005265029,254360.5611,4/20/2018,64759853.45,2.744451053
2018-04-21 00:00:00 UTC,0.001914363,574258.7086,4/21/2018,104524225.2,2018-04-21 00:00:00 UTC,0.009670465,934933.3291,4/21/2018,118946715.3,5.051531502
2018-04-22 00:00:00 UTC,0.002068967,425241.1831,4/22/2018,112965614.2,2018-04-22 00:00:00 UTC,0.011564353,1119378.182,4/22/2018,142241537.1,5.589433278
2018-04-23 00:00:00 UTC,0.002378978,1784343.109,4/23/2018,129892206.4,2018-04-23 00:00:00 UTC,0.00891907,797747.6241,4/23/2018,109704565.3,3.749118319
2018-04-24 00:00:00 UTC,0.002490727,1049517.739,4/24/2018,135993705.7,2018-04-24 00:00:00 UTC,0.009384743,628879.3546,4/24/2018,115432335,3.767872995
2018-04-25 00:00:00 UTC,0.002595582,1152412.295,4/25/2018,141718771.6,2018-04-25 00:00:00 UTC,0.007046536,380430.8457,4/25/2018,86672388.3,2.714819258
2018-04-26 00:00:00 UTC,0.002125568,808918.6738,4/26/2018,116056014.7,2018-04-26 00:00:00 UTC,0.006490935,756598.9253,4/26/2018,79838501.05,3.0537414
2018-04-27 00:00:00 UTC,0.002350779,740461.6882,4/27/2018,128352539.9,2018-04-27 00:00:00 UTC,0.01142978,1742485.792,4/27/2018,140586299.8,4.862124428
2018-04-28 00:00:00 UTC,0.002231139,499371.4649,4/28/2018,121820202.1,2018-04-28 00:00:00 UTC,0.010109183,610546.9421,4/28/2018,124342948.9,4.53095168
2018-04-29 00:00:00 UTC,0.002140289,663126.7388,4/29/2018,116859766.3,2018-04-29 00:00:00 UTC,0.010283335,389228.9379,4/29/2018,126485015.9,4.804647877
2018-04-30 00:00:00 UTC,0.002060778,874711.5443,4/30/2018,112518505.1,2018-04-30 00:00:00 UTC,0.009291845,144979.5165,4/30/2018,114289696.4,4.508901493
2018-05-01 00:00:00 UTC,0.00209645,650971.3862,5/1/2018,114466171.5,2018-05-01 00:00:00 UTC,0.009714352,503934.7795,5/1/2018,119486525.6,4.63371509
2018-05-02 00:00:00 UTC,0.002070687,458563.9295,5/2/2018,113059527.4,2018-05-02 00:00:00 UTC,0.008748358,282396.1265,5/2/2018,107604801,4.22485774
2018-05-03 00:00:00 UTC,0.002078777,942228.6503,5/3/2018,113501246.9,2018-05-03 00:00:00 UTC,0.009377511,340841.6422,5/3/2018,115343379.7,4.511071173
2018-05-04 00:00:00 UTC,0.002227013,28609.31239,5/4/2018,121594926.7,2018-05-04 00:00:00 UTC,0.009296102,126144.6094,5/4/2018,114342053.5,4.17424685
2018-05-05 00:00:00 UTC,0.002295907,636618.3115,5/5/2018,125356523.5,2018-05-05 00:00:00 UTC,0.010126387,378706.1928,5/5/2018,124554559.9,4.410625953
2018-05-06 00:00:00 UTC,0.002347155,698526.4639,5/6/2018,128154648.1,2018-05-06 00:00:00 UTC,0.008779388,525640.8301,5/6/2018,107986474.4,3.740438105
2018-05-07 00:00:00 UTC,0.002233356,462326.5066,5/7/2018,121941217,2018-05-07 00:00:00 UTC,0.008135235,490548.33,5/7/2018,100063388.8,3.642605568
2018-05-08 00:00:00 UTC,0.002151797,376216.4405,5/8/2018,117488141.9,2018-05-08 00:00:00 UTC,0.007596954,257189.5836,5/8/2018,93442530.65,3.530516122
2018-05-09 00:00:00 UTC,0.002185864,534267.4922,5/9/2018,119348184.4,2018-05-09 00:00:00 UTC,0.007623739,596238.3046,5/9/2018,93771989.16,3.487746264
2018-05-10 00:00:00 UTC,0.002139291,504637.3842,5/10/2018,116805268.3,2018-05-10 00:00:00 UTC,0.008402706,657332.7781,5/10/2018,103353277.7,3.927799444
2018-05-11 00:00:00 UTC,0.002075148,684404.9556,5/11/2018,113303055.9,2018-05-11 00:00:00 UTC,0.008842965,727968.9175,5/11/2018,108768473.7,4.261365936
2018-05-12 00:00:00 UTC,0.001884344,319301.1601,5/12/2018,102885184,2018-05-12 00:00:00 UTC,0.008163944,620378.2806,5/12/2018,100416512.9,4.332512535
2018-05-13 00:00:00 UTC,0.00187714,361649.5762,5/13/2018,102491851.5,2018-05-13 00:00:00 UTC,0.008342245,920451.5068,5/13/2018,102609610.1,4.444125105
2018-05-14 00:00:00 UTC,0.002087974,784280.8082,5/14/2018,114003375.9,2018-05-14 00:00:00 UTC,0.007869354,918014.2566,5/14/2018,96793050.67,3.768894632
2018-05-15 00:00:00 UTC,0.002009584,497045.193,5/15/2018,109723311.2,2018-05-15 00:00:00 UTC,0.00753954,1226238.684,5/15/2018,92736337.38,3.751791416
2018-05-16 00:00:00 UTC,0.001940238,472818.1314,5/16/2018,105936990.7,2018-05-16 00:00:00 UTC,0.007037252,1005581.406,5/16/2018,86558198.34,3.627004522
2018-05-17 00:00:00 UTC,0.001879754,347335.8782,5/17/2018,102634589.2,2018-05-17 00:00:00 UTC,0.00619361,335615.282,5/17/2018,76181398.47,3.294904546
2018-05-18 00:00:00 UTC,0.001859661,313757.7335,5/18/2018,101537491.2,2018-05-18 00:00:00 UTC,0.005332147,406362.9956,5/18/2018,65585404.45,2.867268282
2018-05-19 00:00:00 UTC,0.001871782,252650.3433,5/19/2018,102199312.2,2018-05-19 00:00:00 UTC,0.004939805,445723.5291,5/19/2018,60759595.89,2.639092052
2018-05-20 00:00:00 UTC,0.001948851,332571.4479,5/20/2018,106407263.2,2018-05-20 00:00:00 UTC,0.005486575,284187.6347,5/20/2018,67484872.08,2.815287059
2018-05-21 00:00:00 UTC,0.001939721,234926.1696,5/21/2018,105908748.7,2018-05-21 00:00:00 UTC,0.005736365,837250.7612,5/21/2018,70557288.42,2.95731448
2018-05-22 00:00:00 UTC,0.001909598,320650.8246,5/22/2018,104264072.9,2018-05-22 00:00:00 UTC,0.005820548,2947450.593,5/22/2018,71592742.46,3.048048856
2018-05-23 00:00:00 UTC,0.001761719,394257.9711,5/23/2018,96189864.96,2018-05-23 00:00:00 UTC,0.005390623,3172760.309,5/23/2018,66304665.51,3.059865393
2018-05-24 00:00:00 UTC,0.001529732,628345.4111,5/24/2018,83523359.07,2018-05-24 00:00:00 UTC,0.004860574,3594082.987,5/24/2018,59785060.97,3.177402316
2018-05-25 00:00:00 UTC,0.001554518,446959.5936,5/25/2018,84876670.21,2018-05-25 00:00:00 UTC,0.004805148,296495.4766,5/25/2018,59103315.39,3.091085468
2018-05-26 00:00:00 UTC,0.001535063,204380.5256,5/26/2018,83814434.15,2018-05-26 00:00:00 UTC,0.005004558,177193.4735,5/26/2018,61556067.94,3.260164567
2018-05-27 00:00:00 UTC,0.001506595,142734.2015,5/27/2018,82260072.44,2018-05-27 00:00:00 UTC,0.004651375,324031.0378,5/27/2018,57211915.28,3.08734265
2018-05-28 00:00:00 UTC,0.001408627,331739.1824,5/28/2018,76911050.36,2018-05-28 00:00:00 UTC,0.004490658,183150.3567,5/28/2018,55235096.41,3.187968142
2018-05-29 00:00:00 UTC,0.001346083,273972.02,5/29/2018,73496141.58,2018-05-29 00:00:00 UTC,0.004390624,299586.8669,5/29/2018,54004672.55,3.261778063
2018-05-30 00:00:00 UTC,0.001553863,354910.2943,5/30/2018,84840942.8,2018-05-30 00:00:00 UTC,0.004504394,368696.5545,5/30/2018,55404049.25,2.898835998
2018-05-31 00:00:00 UTC,0.001550299,270460.1739,5/31/2018,84646338.75,2018-05-31 00:00:00 UTC,0.004671852,387309.2052,5/31/2018,57463782.64,3.013516747
2018-06-01 00:00:00 UTC,0.001608512,342698.7042,6/1/2018,87824742.57,2018-06-01 00:00:00 UTC,0.004833503,409195.15,6/1/2018,59452091.54,3.004953025
2018-06-02 00:00:00 UTC,0.001658862,462994.1139,6/2/2018,90573867.4,2018-06-02 00:00:00 UTC,0.004913516,339679.3243,6/2/2018,60436242.13,2.96197996
2018-06-03 00:00:00 UTC,0.001721879,194954.1847,6/3/2018,94014602.4,2018-06-03 00:00:00 UTC,0.005431229,335662.7463,6/3/2018,66804112.51,3.154245449
2018-06-04 00:00:00 UTC,0.001676444,275009.1479,6/4/2018,91533857.06,2018-06-04 00:00:00 UTC,0.006084275,442468.0527,6/4/2018,74836579.42,3.629274226
2018-06-05 00:00:00 UTC,0.001558859,915187.861,6/5/2018,85113694.01,2018-06-05 00:00:00 UTC,0.006025542,420780.444,6/5/2018,74114163.12,3.865354083
2018-06-06 00:00:00 UTC,0.001568034,234089.8906,6/6/2018,85614669.09,2018-06-06 00:00:00 UTC,0.006438166,448968.9364,6/6/2018,79189438.16,4.105884184
2018-06-07 00:00:00 UTC,0.001538865,495818.0954,6/7/2018,84022026.01,2018-06-07 00:00:00 UTC,0.005854291,372476.4132,6/7/2018,72007777.65,3.804291475
2018-06-08 00:00:00 UTC,0.001517342,213895.7416,6/8/2018,82846887.72,2018-06-08 00:00:00 UTC,0.005478684,326774.5788,6/8/2018,67387817.39,3.610711362
2018-06-09 00:00:00 UTC,0.001510701,121097.316,6/9/2018,82484250.52,2018-06-09 00:00:00 UTC,0.00561091,370296.4297,6/9/2018,69014195.5,3.714110204
2018-06-10 00:00:00 UTC,0.001413212,116226.8555,6/10/2018,77161394.36,2018-06-10 00:00:00 UTC,0.005462051,342844.1964,6/10/2018,67183230.69,3.864990532
2018-06-11 00:00:00 UTC,0.00129438,209850.4358,6/11/2018,70673156.94,2018-06-11 00:00:00 UTC,0.005132495,109031.2257,6/11/2018,63129691.89,3.965215006
2018-06-12 00:00:00 UTC,0.00129565,260108.1602,6/12/2018,70742478,2018-06-12 00:00:00 UTC,0.004861714,446130.5842,6/12/2018,59799085.57,3.752335893
2018-06-13 00:00:00 UTC,0.001206459,272810.6487,6/13/2018,65872656.79,2018-06-13 00:00:00 UTC,0.004671053,379006.5437,6/13/2018,57453950,3.871704716
2018-06-14 00:00:00 UTC,0.001138642,189189.1512,6/14/2018,62169877.81,2018-06-14 00:00:00 UTC,0.004561808,469042.9465,6/14/2018,56110242.48,4.006358452
2018-06-15 00:00:00 UTC,0.001244626,270461.4872,6/15/2018,67956570.11,2018-06-15 00:00:00 UTC,0.004738108,366033.4803,6/15/2018,58278723.94,3.806852822
2018-06-16 00:00:00 UTC,0.001140687,150782.8369,6/16/2018,62281489.25,2018-06-16 00:00:00 UTC,0.00463561,386653.9313,6/16/2018,57018005.27,4.063875542
2018-06-17 00:00:00 UTC,0.001162638,146468.7147,6/17/2018,63480016.13,2018-06-17 00:00:00 UTC,0.004712652,447996.4433,6/17/2018,57965615.32,4.053413014
2018-06-18 00:00:00 UTC,0.001210107,101784.9977,6/18/2018,66071822.97,2018-06-18 00:00:00 UTC,0.004723856,429703.0943,6/18/2018,58103428.49,3.903668023
2018-06-19 00:00:00 UTC,0.001399105,968093.4541,6/19/2018,76391109.96,2018-06-19 00:00:00 UTC,0.004790767,400718.3936,6/19/2018,58926438.65,3.424165449
2018-06-20 00:00:00 UTC,0.001346778,281500.1603,6/20/2018,73534087.64,2018-06-20 00:00:00 UTC,0.004849924,394413.2209,6/20/2018,59654061.79,3.601130996
2018-06-21 00:00:00 UTC,0.001261978,540393.2236,6/21/2018,68903995.23,2018-06-21 00:00:00 UTC,0.004895982,433954.4758,6/21/2018,60220579.94,3.879609629
2018-06-22 00:00:00 UTC,0.001206747,324667.6937,6/22/2018,65888362.08,2018-06-22 00:00:00 UTC,0.004841721,429311.8249,6/22/2018,59553166.78,4.012208856
2018-06-23 00:00:00 UTC,0.00104878,291358.2313,6/23/2018,57263398.74,2018-06-23 00:00:00 UTC,0.004224406,423360.4305,6/23/2018,51960195.37,4.027923873
2018-06-24 00:00:00 UTC,0.001059988,107808.1522,6/24/2018,57875361.66,2018-06-24 00:00:00 UTC,0.004275346,382318.8652,6/24/2018,52586751.04,4.033390944
2018-06-25 00:00:00 UTC,0.001037565,207980.7387,6/25/2018,56651066.32,2018-06-25 00:00:00 UTC,0.00406155,95593.17057,6/25/2018,49957065.53,3.914501742
2018-06-26 00:00:00 UTC,0.001004122,220717.5706,6/26/2018,54825064.39,2018-06-26 00:00:00 UTC,0.004165069,431295.2557,6/26/2018,51230342.75,4.147971063
2018-06-27 00:00:00 UTC,0.000961486,115632.6377,6/27/2018,52497148.96,2018-06-27 00:00:00 UTC,0.003922887,364937.88,6/27/2018,48251507.11,4.080025086
2018-06-28 00:00:00 UTC,0.000980204,98085.1146,6/28/2018,53519118.68,2018-06-28 00:00:00 UTC,0.004019617,347879.7617,6/28/2018,49441287.91,4.100796365
2018-06-29 00:00:00 UTC,0.000915664,86164.30125,6/29/2018,49995249.87,2018-06-29 00:00:00 UTC,0.003901014,313903.1096,6/29/2018,47982475.63,4.260311643
2018-06-30 00:00:00 UTC,0.000940375,86203.91137,6/30/2018,51344485.01,2018-06-30 00:00:00 UTC,0.0041478,400854.6755,6/30/2018,51017937.25,4.410793566
