wxlm_date,xlm_price,wxlm_market_cap,xlm_total_volume,xlm_date,xlm_market_cap,wxrp_date,xrp_price,wxrp_market_cap,xrp_total_volume,xrp_market_cap,xrp_date,xrp_xlm_ratio
2018-01-01 00:00:00 UTC,0.496803,8872391248,675537000,1/1/2018,11923272000,2018-01-01 00:00:00 UTC,2.31012,89492073294,1697900000,1.11E+11,1/1/2018,4.64997192
2018-01-02 00:00:00 UTC,0.553798,9900319284,674340000,1/2/2018,13291152000,2018-01-02 00:00:00 UTC,2.45529,95115834951,3206290000,1.18E+11,1/2/2018,4.433547972
2018-01-03 00:00:00 UTC,0.875563,15652627386,1498850000,1/3/2018,21013512000,2018-01-03 00:00:00 UTC,3.12571,1.21E+11,6678660000,1.50E+11,1/3/2018,3.569942997
2018-01-04 00:00:00 UTC,0.755118832,13499436133,808414475.3,1/4/2018,18122851966,2018-01-04 00:00:00 UTC,3.22005,1.25E+11,8104150000,1.55E+11,1/4/2018,4.264295716
2018-01-05 00:00:00 UTC,0.703217386,12571972268,703086468.5,1/5/2018,16877217268,2018-01-05 00:00:00 UTC,2.93138,1.14E+11,6173580000,1.41E+11,1/5/2018,4.168526061
2018-01-06 00:00:00 UTC,0.744453234,13309191580,442654100.6,1/6/2018,17866877617,2018-01-06 00:00:00 UTC,3.09163,1.20E+11,2833080000,1.48E+11,1/6/2018,4.152886788
2018-01-07 00:00:00 UTC,0.726644754,12990852324,353278646.4,1/7/2018,17439474107,2018-01-07 00:00:00 UTC,3.39845,1.32E+11,2412330000,1.63E+11,1/7/2018,4.676907087
2018-01-08 00:00:00 UTC,0.659134979,11785294713,243944710.6,1/8/2018,15819239489,2018-01-08 00:00:00 UTC,2.4485,94852796158,3307200000,1.18E+11,1/8/2018,3.714717134
2018-01-09 00:00:00 UTC,0.628180153,11231940401,212635163.3,1/9/2018,15076323671,2018-01-09 00:00:00 UTC,2.14126,82950581295,3717140000,1.03E+11,1/9/2018,3.408671843
2018-01-10 00:00:00 UTC,0.584268606,10452502972,240627840,1/10/2018,14022446554,2018-01-10 00:00:00 UTC,1.95614,75779186818,4840510000,93894720000,1/10/2018,3.348014903
2018-01-11 00:00:00 UTC,0.577128091,10324812637,295717085.5,1/11/2018,13851074187,2018-01-11 00:00:00 UTC,1.93361,74906393931,6211300000,92813280000,1/11/2018,3.350400076
2018-01-12 00:00:00 UTC,0.714852466,12788812208,397788686.9,1/12/2018,17156459193,2018-01-12 00:00:00 UTC,2.02577,78476593332,3325760000,97236960000,1/12/2018,2.833829491
2018-01-13 00:00:00 UTC,0.708851363,12681637443,186408035.5,1/13/2018,17012432714,2018-01-13 00:00:00 UTC,2.0225,78349916335,2165090000,97080000000,1/13/2018,2.853207464
2018-01-14 00:00:00 UTC,0.658560913,11781978756,111119565.7,1/14/2018,15805461921,2018-01-14 00:00:00 UTC,1.86561,72272132220,1990660000,89549280000,1/14/2018,2.832858682
2018-01-15 00:00:00 UTC,0.629299557,11258532082,167023166.3,1/15/2018,15103189357,2018-01-15 00:00:00 UTC,1.66706,64580475415,1798380000,80018880000,1/15/2018,2.649072261
2018-01-16 00:00:00 UTC,0.455843,8155382854,226537125.3,1/16/2018,10940231991,2018-01-16 00:00:00 UTC,1.19515,46299086531,5720560000,57367200000,1/16/2018,2.621845679
2018-01-17 00:00:00 UTC,0.490331114,8772427317,253381687.9,1/17/2018,11767946735,2018-01-17 00:00:00 UTC,1.29116,50018431632,7145750000,61975680000,1/17/2018,2.633241014
2018-01-18 00:00:00 UTC,0.516348833,9237937098,193083858.5,1/18/2018,12392371990,2018-01-18 00:00:00 UTC,1.61161,62432389946,9205920000,77357280000,1/18/2018,3.121165183
